"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hipMemcpyWithStream",30,175916453,5863881.766667,43.77,870535,24973046,4746201.264430
"hipLaunchKernel",135,116078940,859844.000000,28.88,1783,36315667,4816448.805992
"hipDeviceSynchronize",45,50244435,1116543.000000,12.50,180,5057212,2086557.210609
"hipGetDeviceCount",3,42243473,14081157.666667,10.51,271,42241870,24387892.275102
"hipMalloc",5,16741285,3348257.000000,4.17,2379634,4955432,994656.583668
"hipEventRecord",60,365055,6084.250000,0.0908,1413,28162,7551.006106
"hipGetDevice",1283,118244,92.162120,0.0294,50,4188,169.144116
"hipSetDevice",555,69851,125.857658,0.0174,60,1873,155.774667
"hipStreamGetCaptureInfo",30,34392,1146.400000,8.556e-03,111,8405,1913.965816
"hipGetLastError",140,25362,181.157143,6.310e-03,40,4468,457.132480
"hipEventCreateWithFlags",60,23311,388.516667,5.800e-03,90,2685,414.750180
"hipEventDestroy",60,23240,387.333333,5.782e-03,80,1743,367.873904
"hipEventElapsedTime",30,17239,574.633333,4.289e-03,190,1773,431.849709
"hipEventQuery",60,16281,271.350000,4.051e-03,50,2184,346.066949
"hipStreamIsCapturing",5,11812,2362.400000,2.939e-03,781,4879,1517.475140
"hipDeviceGetStreamPriorityRange",1,5420,5420.000000,1.348e-03,5420,5420,0.00000000e+00
"hipDevicePrimaryCtxGetState",3,3156,1052.000000,7.852e-04,90,2946,1640.320700
"hipGetDevicePropertiesR0600",1,2826,2826.000000,7.031e-04,2826,2826,0.00000000e+00
